N,approx_area_wide,relative_error_wide,approx_area_narrow,relative_error_narrow
100,1.024,0.0841518,0.81,0.142419
600,0.955733,0.011875,0.808333,0.144184
1100,0.949527,0.00530439,0.770909,0.183806
1600,0.8384,0.112351,0.775625,0.178813
2100,0.98499,0.0428508,0.801429,0.151494
2600,0.937354,0.00758413,0.779615,0.174588
3100,0.938116,0.00677707,0.775484,0.178963
3600,0.944356,0.000171125,0.786389,0.167417
4100,0.966556,0.0233335,0.792683,0.160753
4600,0.879304,0.0690436,0.78587,0.167967
5100,1.02802,0.0884034,0.774902,0.179579
5600,0.930743,0.0145835,0.791429,0.162081
6100,0.968603,0.025501,0.783443,0.170536
6600,0.980558,0.0381575,0.785909,0.167925
7100,0.894197,0.0532759,0.787324,0.166427
7600,0.909474,0.037102,0.785789,0.168052
8100,0.924128,0.0215865,0.783704,0.17026
8600,0.995423,0.0538964,0.785581,0.168272
9100,0.933978,0.0111583,0.780879,0.17325
9600,0.9184,0.0276514,0.79,0.163594
10100,0.914503,0.0317773,0.787525,0.166214
10600,0.941887,0.00278491,0.78434,0.169587
11100,0.983409,0.0411764,0.781622,0.172464
11600,0.950731,0.00657886,0.779914,0.174273
12100,0.954605,0.0106803,0.783388,0.170594
12600,0.923225,0.0225425,0.780873,0.173257
13100,0.957557,0.0138061,0.786718,0.167069
13600,0.923106,0.022669,0.791618,0.161881
14100,0.964448,0.0211018,0.783759,0.170202
14600,0.945447,0.000983984,0.785959,0.167872
15100,0.977208,0.0346111,0.786689,0.1671
15600,0.95639,0.01257,0.787692,0.166037
16100,0.939409,0.00540857,0.789317,0.164317
16600,0.980819,0.0384345,0.785,0.168888
17100,0.922199,0.0236294,0.792456,0.160993
17600,0.959418,0.0157763,0.783977,0.16997
18100,0.89501,0.0524154,0.783591,0.170379
18600,0.929858,0.0155202,0.784624,0.169286
19100,0.961273,0.0177404,0.785916,0.167917
19600,0.950335,0.00615924,0.787194,0.166565
20100,0.947582,0.00324494,0.784627,0.169283
20600,0.969817,0.0267865,0.784417,0.169504
21100,0.910923,0.0355673,0.78545,0.168411
21600,0.940563,0.0041865,0.786481,0.167319
22100,0.91604,0.0301502,0.786109,0.167714
22600,0.944255,0.000277728,0.787743,0.165983
23100,0.961053,0.017507,0.788831,0.164831
23600,0.938522,0.00634732,0.782797,0.17122
24100,0.928823,0.0166158,0.783029,0.170974
24600,0.942829,0.00178707,0.78378,0.170179
25100,0.972188,0.0292963,0.786932,0.166842
25600,0.9424,0.00224155,0.784023,0.169921
26100,0.916107,0.0300788,0.781379,0.172721
26600,0.936229,0.0087755,0.782895,0.171116
27100,0.968077,0.0249435,0.783395,0.170587
27600,0.92902,0.0164072,0.78587,0.167967
28100,0.950024,0.00583051,0.785018,0.168869
28600,0.965639,0.0223627,0.789161,0.164482
29100,0.97931,0.0368366,0.781924,0.172144
29600,0.941319,0.00338614,0.788311,0.165382
30100,0.954259,0.0103142,0.787409,0.166337
30600,0.951718,0.00762343,0.784869,0.169026
31100,0.9351,0.00997071,0.786592,0.167202
31600,0.958866,0.0151915,0.788671,0.165001
32100,0.928937,0.0164953,0.784766,0.169135
32600,0.946415,0.002009,0.784294,0.169635
33100,0.942637,0.00199078,0.784924,0.168968
33600,0.924648,0.0210367,0.789613,0.164003
34100,0.936014,0.0090026,0.78824,0.165457
34600,0.921896,0.02395,0.790376,0.163196
35100,0.945523,0.00106438,0.780256,0.17391
35600,0.942022,0.00264126,0.786264,0.167549
36100,0.989678,0.0478132,0.788781,0.164884
36600,0.942024,0.00263959,0.786175,0.167644
37100,0.944785,0.000283446,0.788491,0.165192
37600,0.927319,0.0182083,0.787287,0.166466
38100,0.950627,0.00646847,0.787953,0.165761
38600,0.955291,0.0114069,0.785078,0.168805
39100,0.967431,0.02426,0.784885,0.169009
39600,0.949527,0.00530439,0.78447,0.169449
40100,0.935134,0.0099342,0.785436,0.168425
40600,0.947074,0.00270689,0.786182,0.167636
41100,0.922347,0.023472,0.781703,0.172378
41600,0.936862,0.00810536,0.788101,0.165604
42100,0.935951,0.00906981,0.786817,0.166964
42600,0.914389,0.0318983,0.787394,0.166353
43100,0.948923,0.0046641,0.782923,0.171086
43600,0.934517,0.0105872,0.788303,0.165391
44100,0.956198,0.0123667,0.78576,0.168083
44600,0.936065,0.00894914,0.786502,0.167297
45100,0.93545,0.00959969,0.789069,0.16458
45600,0.94967,0.00545569,0.784539,0.169375
46100,0.94248,0.00215704,0.78269,0.171333
46600,0.93017,0.01519,0.785665,0.168183
47100,0.936166,0.00884127,0.783949,0.17
47600,0.966561,0.0233391,0.782143,0.171913
48100,0.939909,0.00487938,0.78343,0.170549
48600,0.936981,0.0079788,0.788519,0.165162
49100,0.947252,0.00289561,0.786497,0.167303
49600,0.939355,0.00546559,0.786754,0.16703
50100,0.952872,0.00884544,0.784132,0.169807
50600,0.933742,0.0114078,0.784526,0.16939
51100,0.943042,0.00156197,0.783327,0.170659
51600,0.951566,0.00746276,0.784767,0.169134
52100,0.93811,0.00678378,0.784299,0.169629
52600,0.938148,0.00674382,0.782966,0.171041
53100,0.943391,0.00119198,0.787006,0.166764
53600,0.918734,0.0272974,0.785261,0.168611
54100,0.965513,0.0222289,0.782403,0.171637
54600,0.930977,0.0143353,0.787161,0.166599
55100,0.944087,0.000455335,0.786788,0.166995
55600,0.930256,0.0150988,0.781619,0.172467
56100,0.953725,0.00974922,0.784153,0.169784
56600,0.935712,0.00932278,0.785583,0.16827
57100,0.938278,0.00660557,0.784483,0.169435
57600,0.927467,0.0180521,0.786892,0.166884
58100,0.940459,0.00429708,0.784596,0.169316
58600,0.940647,0.00409742,0.78802,0.16569
59100,0.953308,0.0093068,0.781895,0.172175
59600,0.927442,0.0180786,0.788557,0.165122
60100,0.958232,0.0145207,0.784692,0.169213
60600,0.94306,0.00154271,0.78396,0.169988
61100,0.930315,0.0150366,0.787119,0.166644
61600,0.941216,0.00349554,0.783442,0.170538
62100,0.93776,0.00715439,0.789694,0.163918
62600,0.949081,0.00483206,0.785208,0.168668
63100,0.938802,0.00605101,0.786656,0.167134
63600,0.960725,0.0171594,0.78434,0.169587
64100,0.927671,0.0178363,0.788752,0.164915
64600,0.940305,0.00446,0.786347,0.167462
65100,0.933397,0.0117732,0.786237,0.167578
65600,0.917541,0.0285603,0.78407,0.169872
66100,0.955217,0.0113283,0.78472,0.169184
66600,0.953581,0.00959601,0.784505,0.169412
67100,0.948306,0.00401181,0.786364,0.167444
67600,0.962651,0.0191989,0.786198,0.167619
68100,0.956034,0.0121934,0.786065,0.16776
68600,0.939065,0.00577275,0.786764,0.16702
69100,0.950942,0.00680203,0.785427,0.168436
69600,0.956469,0.0126539,0.78546,0.168401
70100,0.923499,0.0222528,0.78709,0.166675
70600,0.90579,0.0410017,0.787734,0.165993
71100,0.926641,0.0189265,0.787947,0.165768
71600,0.943768,0.00079362,0.788743,0.164925
72100,0.928275,0.0171961,0.788308,0.165385
72600,0.930204,0.0151541,0.786997,0.166773
73100,0.930425,0.0149198,0.784884,0.169011
73600,0.933009,0.0121845,0.786617,0.167176
74100,0.939841,0.00495056,0.785682,0.168166
74600,0.953034,0.00901688,0.784571,0.169342
75100,0.951052,0.00691861,0.784847,0.16905
75600,0.927289,0.0182403,0.788042,0.165667
76100,0.936267,0.0087348,0.785059,0.168825
76600,0.948203,0.00390191,0.784569,0.169344
77100,0.929702,0.0156858,0.785875,0.167961
77600,0.939282,0.00554221,0.78607,0.167755
78100,0.954378,0.0104406,0.784891,0.169003
78600,0.956515,0.0127026,0.786196,0.167621
79100,0.957718,0.0139766,0.787724,0.166003
79600,0.93768,0.00723839,0.787324,0.166427
80100,0.937324,0.00761536,0.782821,0.171194
80600,0.9418,0.00287627,0.785968,0.167863
81100,0.922989,0.0227929,0.785536,0.16832
81600,0.941427,0.00327123,0.782868,0.171145
82100,0.960889,0.0173332,0.784896,0.168997
82600,0.936972,0.00798798,0.786126,0.167695
83100,0.928131,0.0173488,0.786787,0.166996
83600,0.935809,0.00922013,0.783254,0.170737
84100,0.96105,0.0175042,0.785101,0.168781
84600,0.948834,0.00457044,0.785887,0.167949
85100,0.927737,0.0177661,0.785652,0.168197
85600,0.949114,0.00486686,0.785713,0.168133
86100,0.939678,0.00512389,0.785192,0.168685
86600,0.936972,0.00798859,0.78515,0.168729
87100,0.942409,0.00223183,0.785672,0.168176
87600,0.960058,0.0164542,0.78484,0.169057
88100,0.944381,0.000143778,0.784904,0.16899
88600,0.943559,0.00101408,0.785034,0.168852
89100,0.943436,0.00114455,0.782671,0.171353
89600,0.954514,0.0105843,0.784342,0.169585
90100,0.950581,0.00642015,0.784495,0.169422
90600,0.92273,0.0230668,0.784691,0.169215
91100,0.955321,0.0114386,0.786125,0.167696
91600,0.941946,0.00272238,0.784345,0.169581
92100,0.952064,0.00799042,0.784191,0.169744
92600,0.958645,0.0149581,0.785799,0.168041
93100,0.950527,0.00636303,0.784608,0.169303
93600,0.931665,0.0136072,0.785438,0.168424
94100,0.941188,0.0035251,0.786026,0.167802
94600,0.935888,0.00913569,0.784292,0.169637
95100,0.949919,0.00571894,0.786404,0.167401
95600,0.939488,0.00532475,0.785282,0.168589
96100,0.9411,0.00361825,0.786316,0.167494
96600,0.934214,0.0109079,0.786253,0.167561
97100,0.956401,0.0125821,0.786849,0.16693
97600,0.944472,4.77014e-05,0.785195,0.168681
98100,0.950097,0.0059072,0.786198,0.167619
98600,0.935932,0.00908966,0.786156,0.167663
99100,0.949809,0.00560275,0.784521,0.169395
99600,0.949667,0.00545282,0.782269,0.171779
